Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC07/api/v1/wbsForms-272,4,339,291,485,485,485,285,485,0.000%,2.38237,3.26,3.38
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=c31aa4b0-3798-4a37-9bda-9b1e2c760849-277,858,228,223,230,232,238,213,1678,0.000%,.24059,0.08,0.29
PLI_User_TC07/api/v1/wbsForms-278,4,296,289,330,330,330,271,330,0.000%,2.66489,72.90,3.78
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=0601f7da-d7f9-4e5b-8b40-ac55a9bd41e3-279,858,227,223,230,231,242,213,1359,0.000%,.24061,0.08,0.29
PLI_User_TC07/api/v1/wbsForms-280,4,255,255,262,262,262,250,262,0.000%,2.70453,2.88,3.84
PLI_User_TC07_WBSInformation_Page,857,1838,1592,2664,2849,3342,1504,3994,0.000%,.24071,0.84,1.90
PLI_User_TC08/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-285,857,224,223,230,231,236,213,1102,0.000%,.24095,0.08,0.28
PLI_User_TC08/api/v1/menuItems?projectNumber=4321&menuId=3514b4bd-c8d3-4c85-a5d7-211c0acfa81d-286,857,227,223,230,231,241,212,1270,0.000%,.24095,0.08,0.29
PLI_User_TC08/api/v1/menuItems-287,4,490,486,507,507,507,474,507,0.000%,2.27531,2.07,3.22
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=c63a43b7-bfc4-445d-b949-23ae9b4f1bb1-289,857,229,223,230,231,243,213,1538,0.000%,.24098,0.08,0.29
PLI_User_TC08/api/v1/importManHours-290,4,259,253,277,277,277,252,277,0.000%,2.61267,5.66,3.72
PLI_User_TC08/static/media/sortArrows.36d08665.svg-291,857,240,234,243,247,254,216,1598,0.000%,.24100,0.13,0.17
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=6ba185fb-0266-4b5d-96c9-d482447834af-293,857,231,223,230,232,304,212,1162,0.000%,.24100,0.08,0.29
PLI_User_TC08/api/v1/importManHours-294,4,253,253,255,255,255,252,255,0.000%,2.58065,6.61,3.68
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=a383c497-fd2c-4bab-b422-dce708f9bbec-296,857,226,223,230,231,239,212,1500,0.000%,.24101,0.08,0.29
PLI_User_TC08/api/v1/importManHours-297,4,248,248,250,250,250,247,250,0.000%,2.57566,5.05,3.67
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=d0893b50-7c7c-4ecc-80ed-f9d215897165-299,857,225,223,230,231,236,212,894,0.000%,.24103,0.08,0.29
PLI_User_TC08/api/v1/importManHours-300,4,272,257,327,327,327,247,327,0.000%,2.55754,5.50,3.64
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=abbb3291-148f-423e-8521-9fa5db28c970-302,857,223,223,230,231,235,213,260,0.000%,.24105,0.08,0.29
PLI_User_TC08/api/v1/importManHours-303,4,250,250,255,255,255,244,255,0.000%,2.53646,5.14,3.61
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=e44e405d-2c20-4334-9098-581ec828687b-304,857,228,223,230,231,237,213,1512,0.000%,.24106,0.08,0.29
PLI_User_TC08/api/v1/importManHours-305,4,252,250,260,260,260,249,260,0.000%,2.51572,2.62,3.58
PLI_User_TC08_ManhourBudgets_Page,857,2067,2026,2081,2097,3321,1932,4150,0.000%,.24083,0.76,2.48
PLI_User_TC09/api/v1/workFlow?menuId=d9244c12-f11c-420b-b3d6-b71b00ef41e0&projectNumber=4321-312,857,224,223,230,231,234,212,885,0.000%,.24108,0.08,0.29
PLI_User_TC09/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-311,857,225,223,230,231,236,213,920,0.000%,.24108,0.08,0.28
PLI_User_TC09/api/v1/workFlow-313,4,251,249,258,258,258,249,258,0.000%,2.48756,2.98,3.52
PLI_User_TC09_WorkflowRules_Page,857,451,447,460,462,473,426,1137,0.000%,.24107,0.16,0.57
TOTAL,256043,280,224,657,687,2421,0,10889,18.181%,71.11920,123.83,94.29
